location	date	cases
Peru	2022-11-28	0.0
Peru	2022-11-29	22.0
Peru	2022-11-30	0.0
Peru	2022-12-01	0.0
Peru	2022-12-02	42.0
Peru	2022-12-03	0.0
Peru	2022-12-04	0.0
Peru	2022-12-05	0.0
Peru	2022-12-06	0.0
Peru	2022-12-07	0.0
Peru	2022-12-08	53.0
Peru	2022-12-09	0.0
Peru	2022-12-10	5.0
Peru	2022-12-11	0.0
Peru	2022-12-12	0.0
Peru	2022-12-13	0.0
Peru	2022-12-14	0.0
Peru	2022-12-15	0.0
Peru	2022-12-16	0.0
Peru	2022-12-17	21.0
Peru	2022-12-18	0.0
Peru	2022-12-19	0.0
Peru	2022-12-20	17.0
Peru	2022-12-21	18.0
Peru	2022-12-22	0.0
Peru	2022-12-23	7.0
Peru	2022-12-24	0.0
Peru	2022-12-25	0.0
Peru	2022-12-26	0.0
Peru	2022-12-27	0.0
Peru	2022-12-28	14.0
Peru	2022-12-29	0.0
Peru	2022-12-30	0.0
Peru	2022-12-31	0.0
Peru	2023-01-01	0.0
Peru	2023-01-02	0.0
Peru	2023-01-03	9.0
Peru	2023-01-04	0.0
Peru	2023-01-05	15.0
Peru	2023-01-06	16.0
Peru	2023-01-07	0.0
Peru	2023-01-08	0.0
Peru	2023-01-09	0.0
Peru	2023-01-10	6.0
Peru	2023-01-11	6.0
Peru	2023-01-12	0.0
Peru	2023-01-13	3.0
Peru	2023-01-14	0.0
Peru	2023-01-15	0.0
Peru	2023-01-16	0.0
Peru	2023-01-17	0.0
Peru	2023-01-18	13.0
Peru	2023-01-19	0.0
Peru	2023-01-20	0.0
Peru	2023-01-21	5.0
Peru	2023-01-22	0.0
Peru	2023-01-23	0.0
Peru	2023-01-24	2.0
Peru	2023-01-25	5.0
Peru	2023-01-26	0.0
Portugal	2022-05-17	3.0
Portugal	2022-05-18	2.0
Portugal	2022-05-19	9.0
Portugal	2022-05-20	9.0
Portugal	2022-05-21	14.0
Portugal	2022-05-22	0.0
Portugal	2022-05-23	0.0
Portugal	2022-05-24	0.0
Portugal	2022-05-25	37.0
Portugal	2022-05-26	0.0
Portugal	2022-05-27	0.0
Portugal	2022-05-28	0.0
Portugal	2022-05-29	0.0
Portugal	2022-05-30	0.0
Portugal	2022-05-31	26.0
Portugal	2022-06-01	19.0
Portugal	2022-06-02	19.0
Portugal	2022-06-03	5.0
Portugal	2022-06-04	0.0
Portugal	2022-06-05	0.0
Portugal	2022-06-06	10.0
Portugal	2022-06-07	13.0
Portugal	2022-06-08	25.0
Portugal	2022-06-09	18.0
Portugal	2022-06-10	0.0
Portugal	2022-06-11	0.0
Portugal	2022-06-12	0.0
Portugal	2022-06-13	0.0
Portugal	2022-06-14	22.0
Portugal	2022-06-15	10.0
Portugal	2022-06-16	0.0
Portugal	2022-06-17	35.0
Portugal	2022-06-18	0.0
Portugal	2022-06-19	0.0
Portugal	2022-06-20	21.0
Portugal	2022-06-21	7.0
Portugal	2022-06-22	13.0
Portugal	2022-06-23	11.0
Portugal	2022-06-24	20.0
Portugal	2022-06-25	0.0
Portugal	2022-06-26	0.0
Portugal	2022-06-27	17.0
Portugal	2022-06-28	8.0
Portugal	2022-06-29	18.0
Portugal	2022-06-30	11.0
Portugal	2022-07-01	13.0
Portugal	2022-07-02	0.0
Portugal	2022-07-03	0.0
Portugal	2022-07-04	0.0
Portugal	2022-07-05	0.0
Portugal	2022-07-06	0.0
Portugal	2022-07-07	0.0
Portugal	2022-07-08	0.0
Portugal	2022-07-09	0.0
Portugal	2022-07-10	58.0
Portugal	2022-07-11	0.0
Portugal	2022-07-12	0.0
Portugal	2022-07-13	0.0
Portugal	2022-07-14	0.0
Portugal	2022-07-15	42.0
Portugal	2022-07-16	0.0
Portugal	2022-07-17	0.0
Portugal	2022-07-18	0.0
Portugal	2022-07-19	0.0
Portugal	2022-07-20	0.0
Portugal	2022-07-21	0.0
Portugal	2022-07-22	73.0
Portugal	2022-07-23	0.0
Portugal	2022-07-24	0.0
Portugal	2022-07-25	0.0
Portugal	2022-07-26	0.0
Portugal	2022-07-27	0.0
Portugal	2022-07-28	0.0
Portugal	2022-07-29	45.0
Portugal	2022-07-30	0.0
Portugal	2022-07-31	0.0
Portugal	2022-08-01	0.0
Portugal	2022-08-02	0.0
Portugal	2022-08-03	0.0
Portugal	2022-08-04	0.0
Portugal	2022-08-05	77.0
Portugal	2022-08-06	0.0
Portugal	2022-08-07	0.0
Portugal	2022-08-08	0.0
Portugal	2022-08-09	0.0
Portugal	2022-08-10	0.0
Portugal	2022-08-11	0.0
Portugal	2022-08-12	60.0
Portugal	2022-08-13	0.0
Portugal	2022-08-14	0.0
Portugal	2022-08-15	0.0
Portugal	2022-08-16	0.0
Portugal	2022-08-17	0.0
Portugal	2022-08-18	0.0
Portugal	2022-08-19	40.0
Portugal	2022-08-20	0.0
Portugal	2022-08-21	0.0
Portugal	2022-08-22	0.0
Portugal	2022-08-23	0.0
Portugal	2022-08-24	0.0
Portugal	2022-08-25	0.0
Portugal	2022-08-26	36.0
Portugal	2022-08-27	0.0
Portugal	2022-08-28	0.0
Portugal	2022-08-29	0.0
Portugal	2022-08-30	0.0
Portugal	2022-08-31	0.0
Portugal	2022-09-01	0.0
Portugal	2022-09-02	0.0
Portugal	2022-09-03	0.0
Portugal	2022-09-04	25.0
Portugal	2022-09-05	0.0
Portugal	2022-09-06	0.0
Portugal	2022-09-07	0.0
Portugal	2022-09-08	0.0
Portugal	2022-09-09	0.0
Portugal	2022-09-10	0.0
Portugal	2022-09-11	27.0
Portugal	2022-09-12	0.0
Portugal	2022-09-13	0.0
Portugal	2022-09-14	0.0
Portugal	2022-09-15	0.0
Portugal	2022-09-16	10.0
Portugal	2022-09-17	0.0
Portugal	2022-09-18	0.0
Portugal	2022-09-19	0.0
Portugal	2022-09-20	0.0
Portugal	2022-09-21	0.0
Portugal	2022-09-22	0.0
Portugal	2022-09-23	9.0
Portugal	2022-09-24	0.0
Portugal	2022-09-25	0.0
Portugal	2022-09-26	0.0
Portugal	2022-09-27	0.0
Portugal	2022-09-28	0.0
Portugal	2022-09-29	0.0
Portugal	2022-09-30	9.0
Portugal	2022-10-01	0.0
Portugal	2022-10-02	0.0
Portugal	2022-10-03	0.0
Portugal	2022-10-04	0.0
Portugal	2022-10-05	0.0
Portugal	2022-10-06	0.0
Portugal	2022-10-07	4.0
Portugal	2022-10-08	0.0
Portugal	2022-10-09	0.0
Portugal	2022-10-10	0.0
Portugal	2022-10-11	0.0
Portugal	2022-10-12	0.0
Portugal	2022-10-13	0.0
Portugal	2022-10-14	10.0
Portugal	2022-10-15	0.0
Portugal	2022-10-16	0.0
Portugal	2022-10-17	0.0
Portugal	2022-10-18	0.0
Portugal	2022-10-19	0.0
Portugal	2022-10-20	0.0
Portugal	2022-10-21	4.0
Portugal	2022-10-22	0.0
Portugal	2022-10-23	0.0
Portugal	2022-10-24	0.0
Portugal	2022-10-25	0.0
Portugal	2022-10-26	0.0
Portugal	2022-10-27	0.0
Portugal	2022-10-28	0.0
Portugal	2022-10-29	0.0
Portugal	2022-10-30	0.0
Portugal	2022-10-31	0.0
Portugal	2022-11-01	0.0
Portugal	2022-11-02	0.0
Portugal	2022-11-03	0.0
Portugal	2022-11-04	0.0
Portugal	2022-11-05	0.0
Portugal	2022-11-06	0.0
Portugal	2022-11-07	0.0
Portugal	2022-11-08	0.0
Portugal	2022-11-09	0.0
Portugal	2022-11-10	0.0
Portugal	2022-11-11	0.0
Portugal	2022-11-12	0.0
Portugal	2022-11-13	4.0
Portugal	2022-11-14	0.0
Portugal	2022-11-15	0.0
Portugal	2022-11-16	0.0
Portugal	2022-11-17	0.0
Portugal	2022-11-18	0.0
Portugal	2022-11-19	0.0
Portugal	2022-11-20	0.0
Portugal	2022-11-21	0.0
Portugal	2022-11-22	0.0
Portugal	2022-11-23	0.0
Portugal	2022-11-24	0.0
Portugal	2022-11-25	0.0
Portugal	2022-11-26	0.0
Portugal	2022-11-27	0.0
Portugal	2022-11-28	0.0
Portugal	2022-11-29	0.0
Portugal	2022-11-30	0.0
Portugal	2022-12-01	0.0
Portugal	2022-12-02	0.0
Portugal	2022-12-03	0.0
Portugal	2022-12-04	0.0
Portugal	2022-12-05	0.0
Portugal	2022-12-06	0.0
Portugal	2022-12-07	0.0
Portugal	2022-12-08	0.0
Portugal	2022-12-09	0.0
Portugal	2022-12-10	0.0
Portugal	2022-12-11	0.0
Portugal	2022-12-12	0.0
Portugal	2022-12-13	0.0
Portugal	2022-12-14	0.0
Portugal	2022-12-15	0.0
Portugal	2022-12-16	0.0
Portugal	2022-12-17	0.0
Portugal	2022-12-18	0.0
Portugal	2022-12-19	0.0
Portugal	2022-12-20	0.0
Portugal	2022-12-21	0.0
Portugal	2022-12-22	0.0
Portugal	2022-12-23	0.0
Portugal	2022-12-24	0.0
Portugal	2022-12-25	0.0
Portugal	2022-12-26	0.0
Portugal	2022-12-27	0.0
Portugal	2022-12-28	0.0
Portugal	2022-12-29	0.0
Portugal	2022-12-30	0.0
Portugal	2022-12-31	0.0
Portugal	2023-01-01	0.0
Portugal	2023-01-02	0.0
Portugal	2023-01-03	2.0
Portugal	2023-01-04	0.0
Portugal	2023-01-05	0.0
Portugal	2023-01-06	0.0
Portugal	2023-01-07	0.0
Portugal	2023-01-08	0.0
Portugal	2023-01-09	0.0
Portugal	2023-01-10	0.0
Portugal	2023-01-11	0.0
Portugal	2023-01-12	0.0
Portugal	2023-01-13	0.0
Portugal	2023-01-14	0.0
Portugal	2023-01-15	0.0
Portugal	2023-01-16	0.0
Portugal	2023-01-17	0.0
Portugal	2023-01-18	0.0
Portugal	2023-01-19	0.0
Portugal	2023-01-20	0.0
Portugal	2023-01-21	0.0
Portugal	2023-01-22	0.0
Portugal	2023-01-23	0.0
Portugal	2023-01-24	0.0
Portugal	2023-01-25	0.0
Portugal	2023-01-26	0.0
Slovakia	2022-07-07	1.0
Slovakia	2022-07-08	0.0
Slovakia	2022-07-09	0.0
Slovakia	2022-07-10	0.0
Slovakia	2022-07-11	0.0
Slovakia	2022-07-12	0.0
Slovakia	2022-07-13	0.0
Slovakia	2022-07-14	0.0
Slovakia	2022-07-15	1.0
Slovakia	2022-07-16	0.0
Slovakia	2022-07-17	0.0
Slovakia	2022-07-18	0.0
Slovakia	2022-07-19	0.0
Slovakia	2022-07-20	0.0
Slovakia	2022-07-21	0.0
Slovakia	2022-07-22	1.0
Slovakia	2022-07-23	0.0
Slovakia	2022-07-24	0.0
Slovakia	2022-07-25	0.0
Slovakia	2022-07-26	0.0
Slovakia	2022-07-27	0.0
Slovakia	2022-07-28	0.0
Slovakia	2022-07-29	3.0
Slovakia	2022-07-30	0.0
Slovakia	2022-07-31	0.0
Slovakia	2022-08-01	0.0
Slovakia	2022-08-02	0.0
Slovakia	2022-08-03	0.0
Slovakia	2022-08-04	0.0
Slovakia	2022-08-05	0.0
Slovakia	2022-08-06	0.0
Slovakia	2022-08-07	0.0
Slovakia	2022-08-08	2.0
Slovakia	2022-08-09	0.0
Slovakia	2022-08-10	0.0
Slovakia	2022-08-11	1.0
Slovakia	2022-08-12	0.0
Slovakia	2022-08-13	0.0
Slovakia	2022-08-14	1.0
Slovakia	2022-08-15	0.0
Slovakia	2022-08-16	0.0
Slovakia	2022-08-17	0.0
Slovakia	2022-08-18	0.0
Slovakia	2022-08-19	0.0
Slovakia	2022-08-20	0.0
Slovakia	2022-08-21	0.0
Slovakia	2022-08-22	2.0
Slovakia	2022-08-23	0.0
Slovakia	2022-08-24	0.0
Slovakia	2022-08-25	0.0
Slovakia	2022-08-26	0.0
Slovakia	2022-08-27	0.0
Slovakia	2022-08-28	0.0
Slovakia	2022-08-29	0.0
Slovakia	2022-08-30	0.0
Slovakia	2022-08-31	0.0
Slovakia	2022-09-01	0.0
Slovakia	2022-09-02	0.0
Slovakia	2022-09-03	0.0
Slovakia	2022-09-04	2.0
Slovakia	2022-09-05	0.0
Slovakia	2022-09-06	0.0
Slovakia	2022-09-07	0.0
Slovakia	2022-09-08	0.0
Slovakia	2022-09-09	0.0
Slovakia	2022-09-10	0.0
Slovakia	2022-09-11	0.0
Slovakia	2022-09-12	0.0
Slovakia	2022-09-13	0.0
Slovakia	2022-09-14	0.0
Slovakia	2022-09-15	0.0
Slovakia	2022-09-16	0.0
Slovakia	2022-09-17	0.0
Slovakia	2022-09-18	0.0
Slovakia	2022-09-19	0.0
Slovakia	2022-09-20	0.0
Slovakia	2022-09-21	0.0
Slovakia	2022-09-22	0.0
Slovakia	2022-09-23	0.0
Slovakia	2022-09-24	0.0
Slovakia	2022-09-25	0.0
Slovakia	2022-09-26	0.0
Slovakia	2022-09-27	0.0
Slovakia	2022-09-28	0.0
Slovakia	2022-09-29	0.0
Slovakia	2022-09-30	0.0
Slovakia	2022-10-01	0.0
Slovakia	2022-10-02	0.0
Slovakia	2022-10-03	0.0
Slovakia	2022-10-04	0.0
Slovakia	2022-10-05	0.0
Slovakia	2022-10-06	0.0
Slovakia	2022-10-07	0.0
Slovakia	2022-10-08	0.0
Slovakia	2022-10-09	0.0
Slovakia	2022-10-10	0.0
Slovakia	2022-10-11	0.0
Slovakia	2022-10-12	0.0
Slovakia	2022-10-13	0.0
Slovakia	2022-10-14	0.0
Slovakia	2022-10-15	0.0
Slovakia	2022-10-16	0.0
Slovakia	2022-10-17	0.0
Slovakia	2022-10-18	0.0
Slovakia	2022-10-19	0.0
Slovakia	2022-10-20	0.0
Slovakia	2022-10-21	0.0
Slovakia	2022-10-22	0.0
Slovakia	2022-10-23	0.0
Slovakia	2022-10-24	0.0
Slovakia	2022-10-25	0.0
Slovakia	2022-10-26	0.0
Slovakia	2022-10-27	0.0
Slovakia	2022-10-28	0.0
Slovakia	2022-10-29	0.0
Slovakia	2022-10-30	0.0
Slovakia	2022-10-31	0.0
Slovakia	2022-11-01	0.0
Slovakia	2022-11-02	0.0
Slovakia	2022-11-03	0.0
Slovakia	2022-11-04	0.0
Slovakia	2022-11-05	0.0
Slovakia	2022-11-06	0.0
Slovakia	2022-11-07	0.0
Slovakia	2022-11-08	0.0
Slovakia	2022-11-09	0.0
Slovakia	2022-11-10	0.0
Slovakia	2022-11-11	0.0
Slovakia	2022-11-12	0.0
Slovakia	2022-11-13	0.0
Slovakia	2022-11-14	0.0
Slovakia	2022-11-15	0.0
Slovakia	2022-11-16	0.0
Slovakia	2022-11-17	0.0
Slovakia	2022-11-18	0.0
Slovakia	2022-11-19	0.0
Slovakia	2022-11-20	0.0
Slovakia	2022-11-21	0.0
Slovakia	2022-11-22	0.0
Slovakia	2022-11-23	0.0
Slovakia	2022-11-24	0.0
Slovakia	2022-11-25	0.0
Slovakia	2022-11-26	0.0
Slovakia	2022-11-27	0.0
Slovakia	2022-11-28	0.0
Slovakia	2022-11-29	0.0
Slovakia	2022-11-30	0.0
Slovakia	2022-12-01	0.0
Slovakia	2022-12-02	0.0
Slovakia	2022-12-03	0.0
Slovakia	2022-12-04	0.0
Slovakia	2022-12-05	0.0
Slovakia	2022-12-06	0.0
Slovakia	2022-12-07	0.0
Slovakia	2022-12-08	0.0
Slovakia	2022-12-09	0.0
Slovakia	2022-12-10	0.0
Slovakia	2022-12-11	0.0
Slovakia	2022-12-12	0.0
Slovakia	2022-12-13	0.0
Slovakia	2022-12-14	0.0
Slovakia	2022-12-15	0.0
Slovakia	2022-12-16	0.0
Slovakia	2022-12-17	0.0
Slovakia	2022-12-18	0.0
Slovakia	2022-12-19	0.0
Slovakia	2022-12-20	0.0
Slovakia	2022-12-21	0.0
Slovakia	2022-12-22	0.0
Slovakia	2022-12-23	0.0
Slovakia	2022-12-24	0.0
Slovakia	2022-12-25	0.0
Slovakia	2022-12-26	0.0
Slovakia	2022-12-27	0.0
Slovakia	2022-12-28	0.0
Slovakia	2022-12-29	0.0
Slovakia	2022-12-30	0.0
Slovakia	2022-12-31	0.0
Slovakia	2023-01-01	0.0
Slovakia	2023-01-02	0.0
Slovakia	2023-01-03	0.0
Slovakia	2023-01-04	0.0
Slovakia	2023-01-05	0.0
Slovakia	2023-01-06	0.0
Slovakia	2023-01-07	0.0
Slovakia	2023-01-08	0.0
Slovakia	2023-01-09	0.0
Slovakia	2023-01-10	0.0
Slovakia	2023-01-11	0.0
Slovakia	2023-01-12	0.0
Slovakia	2023-01-13	0.0
Slovakia	2023-01-14	0.0
Slovakia	2023-01-15	0.0
Slovakia	2023-01-16	0.0
Slovakia	2023-01-17	0.0
Slovakia	2023-01-18	0.0
Slovakia	2023-01-19	0.0
Slovakia	2023-01-20	0.0
Slovakia	2023-01-21	0.0
Slovakia	2023-01-22	0.0
Slovakia	2023-01-23	0.0
Slovakia	2023-01-24	0.0
Slovakia	2023-01-25	0.0
Slovakia	2023-01-26	0.0
Slovenia	2022-05-24	1.0
Slovenia	2022-05-25	1.0
Slovenia	2022-05-26	0.0
Slovenia	2022-05-27	0.0
Slovenia	2022-05-28	0.0
Slovenia	2022-05-29	0.0
Slovenia	2022-05-30	0.0
Slovenia	2022-05-31	0.0
Slovenia	2022-06-01	0.0
Slovenia	2022-06-02	1.0
Slovenia	2022-06-03	0.0
Slovenia	2022-06-04	0.0
Slovenia	2022-06-05	0.0
Slovenia	2022-06-06	3.0
Slovenia	2022-06-07	0.0
Slovenia	2022-06-08	0.0
Slovenia	2022-06-09	0.0
Slovenia	2022-06-10	0.0
Slovenia	2022-06-11	0.0
Slovenia	2022-06-12	0.0
Slovenia	2022-06-13	1.0
Slovenia	2022-06-14	0.0
Slovenia	2022-06-15	0.0
Slovenia	2022-06-16	0.0
Slovenia	2022-06-17	0.0
Slovenia	2022-06-18	0.0
Slovenia	2022-06-19	0.0
Slovenia	2022-06-20	0.0
Slovenia	2022-06-21	0.0
Slovenia	2022-06-22	1.0
Slovenia	2022-06-23	1.0
Slovenia	2022-06-24	0.0
Slovenia	2022-06-25	0.0
Slovenia	2022-06-26	0.0
Slovenia	2022-06-27	0.0
Slovenia	2022-06-28	0.0
Slovenia	2022-06-29	0.0
Slovenia	2022-06-30	0.0
Slovenia	2022-07-01	0.0
Slovenia	2022-07-02	0.0
Slovenia	2022-07-03	0.0
Slovenia	2022-07-04	3.0
Slovenia	2022-07-05	0.0
Slovenia	2022-07-06	0.0
Slovenia	2022-07-07	2.0
Slovenia	2022-07-08	0.0
Slovenia	2022-07-09	0.0
Slovenia	2022-07-10	4.0
Slovenia	2022-07-11	0.0
Slovenia	2022-07-12	0.0
Slovenia	2022-07-13	0.0
Slovenia	2022-07-14	1.0
Slovenia	2022-07-15	1.0
Slovenia	2022-07-16	0.0
Slovenia	2022-07-17	0.0
Slovenia	2022-07-18	4.0
Slovenia	2022-07-19	2.0
Slovenia	2022-07-20	0.0
Slovenia	2022-07-21	1.0
Slovenia	2022-07-22	0.0
Slovenia	2022-07-23	0.0
Slovenia	2022-07-24	0.0
Slovenia	2022-07-25	1.0
Slovenia	2022-07-26	5.0
Slovenia	2022-07-27	0.0
Slovenia	2022-07-28	0.0
Slovenia	2022-07-29	0.0
Slovenia	2022-07-30	0.0
Slovenia	2022-07-31	0.0
Slovenia	2022-08-01	2.0
Slovenia	2022-08-02	2.0
Slovenia	2022-08-03	0.0
Slovenia	2022-08-04	0.0
Slovenia	2022-08-05	0.0
Slovenia	2022-08-06	0.0
Slovenia	2022-08-07	0.0
Slovenia	2022-08-08	1.0
Slovenia	2022-08-09	2.0
Slovenia	2022-08-10	1.0
Slovenia	2022-08-11	0.0
Slovenia	2022-08-12	2.0
Slovenia	2022-08-13	0.0
Slovenia	2022-08-14	0.0
Slovenia	2022-08-15	0.0
Slovenia	2022-08-16	0.0
Slovenia	2022-08-17	0.0
Slovenia	2022-08-18	0.0
Slovenia	2022-08-19	0.0
Slovenia	2022-08-20	0.0
Slovenia	2022-08-21	0.0
Slovenia	2022-08-22	0.0
Slovenia	2022-08-23	0.0
Slovenia	2022-08-24	0.0
Slovenia	2022-08-25	0.0
Slovenia	2022-08-26	0.0
Slovenia	2022-08-27	0.0
Slovenia	2022-08-28	0.0
Slovenia	2022-08-29	0.0
Slovenia	2022-08-30	0.0
Slovenia	2022-08-31	0.0
Slovenia	2022-09-01	0.0
Slovenia	2022-09-02	0.0
Slovenia	2022-09-03	0.0
Slovenia	2022-09-04	1.0
Slovenia	2022-09-05	0.0
Slovenia	2022-09-06	1.0
Slovenia	2022-09-07	0.0
Slovenia	2022-09-08	0.0
Slovenia	2022-09-09	0.0
Slovenia	2022-09-10	0.0
Slovenia	2022-09-11	1.0
Slovenia	2022-09-12	0.0
Slovenia	2022-09-13	0.0
Slovenia	2022-09-14	0.0
Slovenia	2022-09-15	0.0
Slovenia	2022-09-16	0.0
Slovenia	2022-09-17	0.0
Slovenia	2022-09-18	0.0
Slovenia	2022-09-19	0.0
Slovenia	2022-09-20	0.0
Slovenia	2022-09-21	0.0
Slovenia	2022-09-22	0.0
Slovenia	2022-09-23	0.0
Slovenia	2022-09-24	0.0
Slovenia	2022-09-25	0.0
Slovenia	2022-09-26	1.0
Slovenia	2022-09-27	0.0
Slovenia	2022-09-28	0.0
Slovenia	2022-09-29	0.0
Slovenia	2022-09-30	0.0
Slovenia	2022-10-01	0.0
Slovenia	2022-10-02	0.0
Slovenia	2022-10-03	0.0
Slovenia	2022-10-04	0.0
Slovenia	2022-10-05	0.0
Slovenia	2022-10-06	0.0
Slovenia	2022-10-07	0.0
Slovenia	2022-10-08	0.0
Slovenia	2022-10-09	0.0
Slovenia	2022-10-10	0.0
Slovenia	2022-10-11	0.0
Slovenia	2022-10-12	0.0
Slovenia	2022-10-13	0.0
Slovenia	2022-10-14	0.0
Slovenia	2022-10-15	0.0
Slovenia	2022-10-16	0.0
Slovenia	2022-10-17	0.0
Slovenia	2022-10-18	0.0
Slovenia	2022-10-19	0.0
Slovenia	2022-10-20	0.0
Slovenia	2022-10-21	0.0
Slovenia	2022-10-22	0.0
Slovenia	2022-10-23	0.0
Slovenia	2022-10-24	0.0
Slovenia	2022-10-25	0.0
Slovenia	2022-10-26	0.0
Slovenia	2022-10-27	0.0
Slovenia	2022-10-28	0.0
Slovenia	2022-10-29	0.0
Slovenia	2022-10-30	0.0
Slovenia	2022-10-31	0.0
Slovenia	2022-11-01	0.0
Slovenia	2022-11-02	0.0
Slovenia	2022-11-03	0.0
Slovenia	2022-11-04	0.0
Slovenia	2022-11-05	0.0
Slovenia	2022-11-06	0.0
Slovenia	2022-11-07	0.0
Slovenia	2022-11-08	0.0
Slovenia	2022-11-09	0.0
Slovenia	2022-11-10	0.0
Slovenia	2022-11-11	0.0
Slovenia	2022-11-12	0.0
Slovenia	2022-11-13	0.0
Slovenia	2022-11-14	0.0
Slovenia	2022-11-15	0.0
Slovenia	2022-11-16	0.0
Slovenia	2022-11-17	0.0
Slovenia	2022-11-18	0.0
Slovenia	2022-11-19	0.0
Slovenia	2022-11-20	0.0
Slovenia	2022-11-21	0.0
Slovenia	2022-11-22	0.0
Slovenia	2022-11-23	0.0
Slovenia	2022-11-24	0.0
Slovenia	2022-11-25	0.0
Slovenia	2022-11-26	0.0
Slovenia	2022-11-27	0.0
Slovenia	2022-11-28	0.0
Slovenia	2022-11-29	0.0
Slovenia	2022-11-30	0.0
Slovenia	2022-12-01	0.0
Slovenia	2022-12-02	0.0
Slovenia	2022-12-03	0.0
Slovenia	2022-12-04	0.0
Slovenia	2022-12-05	0.0
Slovenia	2022-12-06	0.0
Slovenia	2022-12-07	0.0
Slovenia	2022-12-08	0.0
Slovenia	2022-12-09	0.0
Slovenia	2022-12-10	0.0
Slovenia	2022-12-11	0.0
Slovenia	2022-12-12	0.0
Slovenia	2022-12-13	0.0
Slovenia	2022-12-14	0.0
Slovenia	2022-12-15	0.0
Slovenia	2022-12-16	0.0
Slovenia	2022-12-17	0.0
Slovenia	2022-12-18	0.0
Slovenia	2022-12-19	0.0
Slovenia	2022-12-20	0.0
Slovenia	2022-12-21	0.0
Slovenia	2022-12-22	0.0
Slovenia	2022-12-23	0.0
Slovenia	2022-12-24	0.0
Slovenia	2022-12-25	0.0
Slovenia	2022-12-26	0.0
Slovenia	2022-12-27	0.0
Slovenia	2022-12-28	0.0
Slovenia	2022-12-29	0.0
Slovenia	2022-12-30	0.0
Slovenia	2022-12-31	0.0
Slovenia	2023-01-01	0.0
Slovenia	2023-01-02	0.0
Slovenia	2023-01-03	0.0
Slovenia	2023-01-04	0.0
Slovenia	2023-01-05	0.0
Slovenia	2023-01-06	0.0
Slovenia	2023-01-07	0.0
Slovenia	2023-01-08	0.0
Slovenia	2023-01-09	0.0
Slovenia	2023-01-10	0.0
Slovenia	2023-01-11	0.0
Slovenia	2023-01-12	0.0
Slovenia	2023-01-13	0.0
Slovenia	2023-01-14	0.0
Slovenia	2023-01-15	0.0
Slovenia	2023-01-16	0.0
Slovenia	2023-01-17	0.0
Slovenia	2023-01-18	0.0
Slovenia	2023-01-19	0.0
Slovenia	2023-01-20	0.0
Slovenia	2023-01-21	0.0
Slovenia	2023-01-22	0.0
Slovenia	2023-01-23	0.0
Slovenia	2023-01-24	0.0
Slovenia	2023-01-25	0.0
Slovenia	2023-01-26	0.0
Spain	2022-05-18	0.0
Spain	2022-05-19	7.0
Spain	2022-05-20	16.0
Spain	2022-05-21	0.0
Spain	2022-05-22	17.0
Spain	2022-05-23	0.0
Spain	2022-05-24	0.0
Spain	2022-05-25	0.0
Spain	2022-05-26	0.0
Spain	2022-05-27	0.0
Spain	2022-05-28	0.0
Spain	2022-05-29	0.0
Spain	2022-05-30	58.0
Spain	2022-05-31	0.0
Spain	2022-06-01	44.0
Spain	2022-06-02	14.0
Spain	2022-06-03	30.0
Spain	2022-06-04	0.0
Spain	2022-06-05	0.0
Spain	2022-06-06	0.0
Spain	2022-06-07	12.0
Spain	2022-06-08	0.0
Spain	2022-06-09	0.0
Spain	2022-06-10	61.0
Spain	2022-06-11	0.0
Spain	2022-06-12	0.0
Spain	2022-06-13	16.0
Spain	2022-06-14	38.0
Spain	2022-06-15	0.0
Spain	2022-06-16	0.0
Spain	2022-06-17	184.0
Spain	2022-06-18	0.0
Spain	2022-06-19	0.0
Spain	2022-06-20	0.0
Spain	2022-06-21	23.0
Spain	2022-06-22	0.0
Spain	2022-06-23	0.0
Spain	2022-06-24	216.0
Spain	2022-06-25	0.0
Spain	2022-06-26	0.0
Spain	2022-06-27	0.0
Spain	2022-06-28	64.0
Spain	2022-06-29	0.0
Spain	2022-06-30	0.0
Spain	2022-07-01	0.0
Spain	2022-07-02	0.0
Spain	2022-07-03	0.0
Spain	2022-07-04	0.0
Spain	2022-07-05	456.0
Spain	2022-07-06	221.0
Spain	2022-07-07	0.0
Spain	2022-07-08	0.0
Spain	2022-07-09	0.0
Spain	2022-07-10	557.0
Spain	2022-07-11	0.0
Spain	2022-07-12	0.0
Spain	2022-07-13	413.0
Spain	2022-07-14	0.0
Spain	2022-07-15	0.0
Spain	2022-07-16	0.0
Spain	2022-07-17	0.0
Spain	2022-07-18	388.0
Spain	2022-07-19	0.0
Spain	2022-07-20	290.0
Spain	2022-07-21	0.0
Spain	2022-07-22	0.0
Spain	2022-07-23	0.0
Spain	2022-07-24	0.0
Spain	2022-07-25	26.0
Spain	2022-07-26	445.0
Spain	2022-07-27	142.0
Spain	2022-07-28	0.0
Spain	2022-07-29	0.0
Spain	2022-07-30	0.0
Spain	2022-07-31	0.0
Spain	2022-08-01	560.0
Spain	2022-08-02	279.0
Spain	2022-08-03	0.0
Spain	2022-08-04	0.0
Spain	2022-08-05	0.0
Spain	2022-08-06	0.0
Spain	2022-08-07	0.0
Spain	2022-08-08	365.0
Spain	2022-08-09	220.0
Spain	2022-08-10	0.0
Spain	2022-08-11	108.0
Spain	2022-08-12	0.0
Spain	2022-08-13	0.0
